Протокол:	khotin570 15.02.2019 21:22:38
Формат планшета:	96 лунок

Опт. плотности     Фильтр 1: 570нм   Показание 1:  0:00:00

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.045	0.048	0.046	0.046	0.047	0.045	0.045	0.045	0.044	0.045	0.046	0.046
B	0.046	0.041	0.046	0.044	0.044	0.045	0.044	0.044	0.044	0.050	0.048	0.047
C	0.045	0.047	0.044	1.119	0.880	0.854	0.913	0.957	0.908	0.046	0.047	0.047
D	0.046	0.047	0.043	1.008	0.950	0.850	0.966	1.352	0.943	0.046	0.045	0.047
E	0.048	0.045	0.047	0.782	0.848	0.911	0.873	1.078	1.122	0.047	0.045	0.046
F	0.046	0.049	0.048	0.048	0.045	0.043	0.044	0.044	0.046	0.047	0.046	0.046
G	0.045	0.047	0.045	0.046	0.048	0.043	0.044	0.044	0.042	0.043	0.045	0.046
H	0.044	0.044	0.043	0.038	0.043	0.042	0.044	0.039	0.040	0.045	0.042	0.045

