MTT,substance
0.047,DMSO
0.045,DMSO
0.044,DMSO
0.652,control
0.632,control
0.563,control
0.803,neoton1
0.925,neoton1
0.8,neoton1
0.844,neoton10
0.738,neoton10
0.767,neoton10
0.733,unifusol2
0.621,unifusol2
0.848,unifusol2
0.553,unifusol20
0.524,unifusol20
0.754,unifusol20
0.899,PBS20
0.75,PBS20
0.87,PBS20
